nct_id,year,actual,predicted,p_bayes,p_power,p_reg,drug_class,endpoint_type,n_train
NCT00844519,2010,0,0.346,0.597,0.091,0.3,other,other,289
NCT00946998,2010,0,0.314,0.597,0.134,0.114,other,other,289
NCT00947661,2010,1,0.557,0.628,0.299,0.806,other,other,289
NCT01003639,2010,0,0.344,0.597,0.119,0.257,other,other,289
NCT01029886,2010,1,0.844,0.726,0.99,0.827,glp1ra,surrogate,289
NCT01031680,2010,1,0.844,0.72,0.99,0.837,sglt2i,surrogate,289
NCT01033071,2010,1,0.842,0.722,0.99,0.828,arb,surrogate,289
NCT01042977,2010,1,0.845,0.72,0.99,0.841,sglt2i,surrogate,289
NCT01064414,2010,1,0.782,0.72,0.837,0.804,sglt2i,surrogate,289
NCT01064687,2010,1,0.813,0.688,0.976,0.787,other,surrogate,289
NCT01075282,2010,1,0.802,0.684,0.985,0.736,other,surrogate,289
NCT01076075,2010,1,0.553,0.649,0.233,0.85,other,other,289
NCT01076088,2010,0,0.516,0.649,0.155,0.81,other,other,289
NCT01081834,2010,1,0.841,0.72,0.99,0.824,sglt2i,surrogate,289
NCT01084005,2010,1,0.765,0.688,0.787,0.859,other,surrogate,289
NCT01087502,2010,1,0.694,0.688,0.614,0.815,other,surrogate,289
NCT01087723,2010,1,0.678,0.628,0.797,0.591,other,other,289
NCT01095653,2010,1,0.839,0.72,0.99,0.818,sglt2i,surrogate,289
NCT01095666,2010,1,0.826,0.72,0.99,0.765,sglt2i,surrogate,289
NCT01098539,2010,1,0.815,0.684,0.979,0.794,other,surrogate,289
NCT01103284,2010,0,0.468,0.649,0.254,0.478,other,other,289
NCT01103960,2010,1,0.521,0.635,0.184,0.81,arb,other,289
NCT01106625,2010,1,0.834,0.72,0.972,0.823,sglt2i,surrogate,289
NCT01106651,2010,1,0.841,0.72,0.99,0.825,sglt2i,surrogate,289
NCT01106677,2010,1,0.843,0.72,0.99,0.834,sglt2i,surrogate,289
NCT01106690,2010,1,0.81,0.72,0.912,0.813,sglt2i,surrogate,289
NCT01123083,2010,0,0.503,0.649,0.125,0.8,other,other,289
NCT01126580,2010,1,0.819,0.688,0.985,0.798,other,surrogate,289
NCT01128153,2010,1,0.761,0.688,0.812,0.806,other,surrogate,289
NCT01128894,2010,0,0.839,0.726,0.99,0.807,glp1ra,surrogate,289
NCT01131676,2010,1,0.668,0.656,0.796,0.51,other,mace,289
NCT01137474,2010,1,0.831,0.72,0.99,0.785,sglt2i,surrogate,289
NCT01137812,2010,0,0.813,0.684,0.99,0.771,other,surrogate,289
NCT01144338,2010,0,0.689,0.686,0.99,0.271,glp1ra,mace,289
NCT01147250,2010,0,0.675,0.684,0.75,0.553,glp1ra,cv_death,289
NCT01151137,2010,0,0.779,0.649,0.923,0.785,other,other,289
NCT01151410,2010,1,0.678,0.684,0.728,0.599,other,surrogate,289
NCT01159600,2010,1,0.839,0.688,0.99,0.868,other,surrogate,289
NCT01164501,2010,1,0.518,0.657,0.167,0.786,other,renal,289
NCT01167881,2010,1,0.822,0.688,0.99,0.801,other,surrogate,289
NCT01169779,2010,1,0.848,0.72,0.978,0.87,glp1ra,surrogate,289
NCT01177813,2010,1,0.82,0.688,0.942,0.859,other,surrogate,289
NCT01178073,2010,1,0.46,0.628,0.224,0.52,other,other,289
NCT01179048,2010,1,0.732,0.686,0.955,0.494,glp1ra,mace,289
NCT01183013,2010,0,0.765,0.684,0.827,0.807,other,surrogate,289
NCT01187953,2010,0,0.508,0.628,0.283,0.63,other,other,289
NCT01189890,2010,1,0.828,0.688,0.974,0.848,other,surrogate,289
NCT01191255,2010,1,0.487,0.649,0.175,0.665,other,other,289
NCT01191268,2010,1,0.82,0.684,0.99,0.799,other,surrogate,289
NCT01194830,2010,1,0.767,0.688,0.777,0.879,other,surrogate,289
NCT01195662,2010,1,0.833,0.72,0.99,0.795,sglt2i,surrogate,289
NCT01210001,2010,1,0.804,0.688,0.9,0.854,other,surrogate,289
NCT01214239,2010,1,0.792,0.688,0.869,0.849,other,surrogate,289
NCT01215097,2010,1,0.795,0.688,0.875,0.853,other,surrogate,289
NCT01217892,2010,1,0.806,0.72,0.873,0.848,sglt2i,surrogate,289
NCT01219855,2010,1,0.456,0.628,0.066,0.727,other,other,289
NCT01222520,2010,1,0.734,0.722,0.641,0.884,arb,surrogate,289
NCT01225562,2010,1,0.762,0.678,0.979,0.595,antiplat,cv_death,289
NCT01243424,2010,0,0.586,0.656,0.736,0.263,other,mace,289
NCT01289119,2010,1,0.702,0.688,0.635,0.819,other,surrogate,289
NCT01340768,2010,1,0.59,0.628,0.419,0.768,other,other,289
NCT01534533,2010,0,0.393,0.597,0.09,0.491,other,other,289
NCT01822548,2010,0,0.32,0.593,0.091,0.205,other,other,289
NCT01177384,2011,1,0.535,0.659,0.216,0.783,other,other,352
NCT01215253,2011,0,0.442,0.596,0.481,0.14,other,other,352
NCT01234649,2011,1,0.302,0.594,0.132,0.07,glp1ra,other,352
NCT01294163,2011,1,0.468,0.634,0.197,0.58,other,other,352
NCT01294423,2011,1,0.821,0.748,0.872,0.866,sglt2i,surrogate,352
NCT01299376,2011,1,0.809,0.705,0.858,0.906,other,surrogate,352
NCT01302691,2011,0,0.839,0.741,0.912,0.896,arb,surrogate,352
NCT01306214,2011,1,0.824,0.705,0.935,0.857,other,surrogate,352
NCT01307046,2011,1,0.826,0.705,0.907,0.906,other,surrogate,352
NCT01320202,2011,1,0.475,0.634,0.182,0.632,other,other,352
NCT01322347,2011,1,0.461,0.634,0.178,0.582,other,other,352
NCT01327846,2011,0,0.675,0.67,0.918,0.344,other,mace,352
NCT01331681,2011,1,0.474,0.634,0.167,0.648,other,other,352
NCT01370005,2011,1,0.853,0.705,0.987,0.901,other,surrogate,352
NCT01377467,2011,1,0.316,0.596,0.092,0.181,other,other,352
NCT01381900,2011,1,0.874,0.748,0.99,0.914,sglt2i,surrogate,352
NCT01392300,2011,1,0.53,0.659,0.188,0.802,other,other,352
NCT01392573,2011,1,0.867,0.753,0.976,0.896,glp1ra,surrogate,352
NCT01392677,2011,1,0.857,0.748,0.985,0.853,sglt2i,surrogate,352
NCT01394952,2011,1,0.713,0.708,0.952,0.387,glp1ra,mace,352
NCT01408303,2011,0,0.528,0.634,0.238,0.762,other,other,352
NCT01421147,2011,0,0.833,0.702,0.986,0.828,other,surrogate,352
NCT01421459,2011,0,0.836,0.702,0.99,0.834,other,surrogate,352
NCT01422876,2011,1,0.847,0.705,0.989,0.873,other,surrogate,352
NCT01442038,2011,0,0.725,0.659,0.872,0.627,other,other,352
NCT01444651,2011,0,0.391,0.599,0.092,0.476,other,other,352
NCT01451398,2011,1,0.818,0.702,0.919,0.86,other,surrogate,352
NCT01456169,2011,1,0.828,0.741,0.921,0.837,arb,surrogate,352
NCT01456195,2011,1,0.781,0.705,0.85,0.805,other,surrogate,352
NCT01464307,2011,0,0.479,0.659,0.176,0.617,other,other,352
NCT01472185,2011,1,0.82,0.705,0.971,0.793,other,surrogate,352
NCT01492361,2011,1,0.635,0.669,0.772,0.39,other,cv_death,352
NCT01554618,2011,1,0.533,0.743,0.493,0.254,glp1ra,surrogate,352
